Outcome,Category,beta,se,t,p_raw,N
mar_pct,AINDEX,0.025527428327564782,0.01985441680614185,1.285730453672556,0.20003880760278145,395
mar_pct,BINDEX,0.05481949844888574,0.026413647940553626,2.075423227123422,0.03923946639846245,395
mar_pct,CINDEX,-0.023153409584240243,0.024253478121526496,-0.9546428544485802,0.3408772237003207,413
mar_pct,OINDEX,-0.015240480498571525,0.025702828040711303,-0.5929495569293689,0.5538915514839851,395
mar_pct,TRINDEX,-0.015971676855917643,0.022043207039894243,-0.7245623028904904,0.4695759143025663,395
capm_alpha,AINDEX,0.02113376153241009,0.018191451826345635,1.1617413351145112,0.24673906143545193,395
capm_alpha,BINDEX,0.038378638657384084,0.024166978682451136,1.5880610961622916,0.11386809773235083,395
capm_alpha,CINDEX,-0.02064297309748956,0.022874927023350086,-0.9024279324002997,0.36788354730233863,413
capm_alpha,OINDEX,-0.012574221081454463,0.023788604094317774,-0.5285817121340879,0.5976876365582342,395
capm_alpha,TRINDEX,-0.016622848781602344,0.021107244287057948,-0.7875423506513713,0.4319061783486817,395
ff5_alpha,AINDEX,-0.03395743781623095,0.02772593984668018,-1.2247533538632023,0.22212326068203686,395
ff5_alpha,BINDEX,0.08904055219349304,0.03199568094486863,2.7828928644124726,0.00590923747746689,395
ff5_alpha,CINDEX,-0.0509402464631605,0.02543125909507942,-2.003056406790991,0.04648189346925336,413
ff5_alpha,OINDEX,-0.020008535239683597,0.026436046353721154,-0.7568656436731956,0.4500300345196844,395
ff5_alpha,TRINDEX,0.031726540708452676,0.024461834168279545,1.296981268460789,0.19614694320482853,395
total_vol,AINDEX,3.0653921105666946e-05,0.0002583725986202195,0.11864230676692221,0.9056790250805988,395
total_vol,BINDEX,-0.00013338086509692148,0.00035016739879942596,-0.38090600539692543,0.7036813685036603,395
total_vol,CINDEX,-0.00038870233251051423,0.000268841161406886,-1.4458438227106922,0.1497406665080561,413
total_vol,OINDEX,-0.0006223986725539091,0.0002959997004325643,-2.102700346129932,0.036755626266621426,395
total_vol,TRINDEX,-0.0009493287424451684,0.000312410286950547,-3.038724338150371,0.0026963619035864374,395
idio_vol,AINDEX,-9.971521044486503e-06,0.00025459901416807935,-0.039165591732824134,0.968797828104617,395
idio_vol,BINDEX,-0.0002985205940216068,0.0003404066528988298,-0.8769528782104276,0.38157499519587046,395
idio_vol,CINDEX,-0.0003430582859579518,0.0002524955695308635,-1.3586705168544293,0.1757368748365,413
idio_vol,OINDEX,-0.0007405466295494985,0.00029004864107205655,-2.553180827920256,0.011427531505567582,395
idio_vol,TRINDEX,-0.0009132262663630731,0.0002924398314781657,-3.1227834517175097,0.0020599607354316635,395
downside_vol,AINDEX,-5.440033988488153e-05,0.0001566294133503225,-0.3473187999702708,0.7287207276334834,395
downside_vol,BINDEX,-0.0002172472155799459,0.00019323229498070379,-1.1242800568178328,0.2622553916195071,395
downside_vol,CINDEX,-5.198555027236847e-05,0.00015547114037694725,-0.3343742777362217,0.7384373255290975,413
downside_vol,OINDEX,-0.0003185114800356173,0.0001679391619295995,-1.8965884810663642,0.05933814114392244,395
downside_vol,TRINDEX,-0.00033795001847000753,0.0001895999914836958,-1.782436886338514,0.07621031829809319,395
roe,AINDEX,-0.011302193993950682,0.007717392009436598,-1.4645095104836834,0.14464072865022518,394
roe,BINDEX,0.010878948004687718,0.007957491663116776,1.367132818386978,0.173133761866972,394
roe,CINDEX,-0.008187035119695414,0.0053925986973019655,-1.5181984752159596,0.13049755637989577,412
roe,OINDEX,0.013897736625318038,0.007688366198962544,1.8076319813165738,0.07218148744288665,394
roe,TRINDEX,0.009814883767756674,0.006747760068562229,1.4545395313452467,0.14738019047827286,394
