Category,Outcome,t,p_rw,sig_rw
TRINDEX,total_vol,-4.111969444705009,0.005,***
TRINDEX,idio_vol,-3.757724109625351,0.013,**
BINDEX,ff5_alpha,3.266404346664049,0.05,*
TRINDEX,mar_pct,-2.8793329474340434,0.131,
TRINDEX,capm_alpha,-2.4696894215722702,0.3355,
OINDEX,idio_vol,-2.3139591748451287,0.4465,
TRINDEX,roe,2.2725293546329666,0.472,
BINDEX,roe,2.0821917718126506,0.616,
OINDEX,total_vol,-1.892704970202258,0.731,
AINDEX,roe,-1.7033305096369036,0.8485,
BINDEX,mar_pct,1.3826183949911441,0.9635,
TRINDEX,downside_vol,-1.3546309875843123,0.9675,
OINDEX,mar_pct,-1.314721141783436,0.9685,
CINDEX,ff5_alpha,-1.2246865362074384,0.9785,
CINDEX,total_vol,-1.1864041810131902,0.983,
AINDEX,downside_vol,-1.1856328808178518,0.983,
OINDEX,capm_alpha,-1.1385217729082078,0.9895,
CINDEX,idio_vol,-1.0065239801157009,0.993,
OINDEX,roe,1.027470014065828,0.993,
AINDEX,mar_pct,0.7295501536185156,0.9965,
AINDEX,capm_alpha,0.7152357862594556,0.9965,
AINDEX,ff5_alpha,-0.9034412735871037,0.9965,
TRINDEX,ff5_alpha,-0.7490849588409118,0.9965,
CINDEX,roe,-0.6320867692711709,0.9965,
BINDEX,total_vol,0.572980426909713,0.9965,
OINDEX,ff5_alpha,-0.6415879516476933,0.9965,
AINDEX,total_vol,-0.8985997937068083,0.9965,
OINDEX,downside_vol,-0.8805594723461015,0.9965,
AINDEX,idio_vol,-0.8669306884418475,0.9965,
CINDEX,capm_alpha,0.3575830628026799,0.9975,
CINDEX,downside_vol,-0.3917213220180308,0.9975,
BINDEX,idio_vol,0.054783375298128774,0.9975,
BINDEX,downside_vol,0.2412299038635127,0.9975,
CINDEX,mar_pct,0.19638899086088135,0.9975,
BINDEX,capm_alpha,0.41596116651739845,0.9975,
