source,metric,unit,description,temporal_key,suggested_direction,suggested_category,direction_FINAL,category_FINAL,include_in_index,notes
AR,board_size,count,Total number of directors currently on the Board.,firm-FY,ambiguous,board_structure,,,,LLM-extracted; feeds board_independence_ratio's denominator. Observed coverage: 26.9% (ar_field_coverage.csv).
AR,board_independent_count,count,Number of those directors who are Independent Directors.,firm-FY,ambiguous,board_structure,,,,"Raw count, confounded by board_size -- a larger board mechanically has more independent members in absolute terms without a more independent composition; prefer board_independence_ratio for cross-firm comparison. Not separately tracked in ar_field_coverage.csv."
AR,board_independence_ratio,ratio_0_1,"Independent directors / board_size (derived, not LLM-reported directly).",firm-FY,positive,board_structure,,,,Derived field (ar_extractor.py L302-303): null if board_size is None/0 or board_independent_count is None. Observed coverage: 26.9%.
AR,board_meeting_count,count,Number of Board meetings held during the year.,firm-FY,ambiguous,board_activity,,,,Genuinely contested sign in the literature -- more meetings can reflect either active oversight or firm distress requiring extra meetings. Observed coverage: 22.5%.
AR,board_avg_attendance_pct,pct_0_100,"Average/overall attendance %, ONLY if the AR states this as an explicit summary figure (never computed by the LLM from a per-director table -- that is deliberately disallowed).",firm-FY,positive,board_activity,,,,"Very sparse by design -- the LLM is barred from computing it itself, so most ARs yield null unless the report states a summary figure directly. Observed coverage: 0.2% -- excluded from 09_regression.ipynb's AR_VARS on this basis. Coverage sparsity, not signal absence."
AR,promoter_pledge_pct,pct_0_100,% of promoter shareholding that is pledged/encumbered.,firm-FY,negative,ownership_risk,,,,"""Nil""/""0%"" is coded as a real 0, not null (ar_extractor.py prompt), so missingness reflects true non-disclosure, not non-pledging. Observed coverage: 4.0% -- excluded from AR_VARS (too sparse)."
AR,rpt_aggregate_inr_crore,inr_crore,"Aggregate related-party-transaction value for the year, normalized to INR Crore from whatever unit (Crore/Lakh/Thousand/actual-rupees) the AR itself reports.",firm-FY,negative,related_party,,,,"Scale before use -- raw crore value is size-driven, not comparable across firms of different size without normalizing (e.g. by revenue/market cap). Observed coverage: 2.1% -- excluded from AR_VARS (too sparse)."
AR,audit_fees_inr_crore,inr_crore,"Statutory audit fee paid to the auditor for the year, normalized to INR Crore.",firm-FY,ambiguous,audit_quality,,,,"Scale before use -- raw crore value is size-driven. Extraction has strict table-identification guardrails against grabbing an unrelated fee-table row (ar_extractor.py SYSTEM_PROMPT). Observed coverage: 53.4% -- the best-covered AR field, included in AR_VARS; showed the strongest raw significance among AR variables in 09_regression.ipynb Table B (one hit at raw p approx 4.9e-08) but did not survive Romano-Wolf correction."
AR,contingent_liabilities_inr_crore,inr_crore,"Aggregate contingent liabilities figure, normalized to INR Crore.",firm-FY,negative,financial_risk,,,,Scale before use -- raw crore value is size-driven. Observed coverage: 11.7% -- excluded from AR_VARS (too sparse).
Reg30,n_director_changes,count,"Count of ALL director_change events that FY (appointed + resigned + ceased + reappointed) -- every event type counts, not just departures.",aggregated to firm-FY from event-level news_dt (via _to_indian_fiscal_quarter),negative,governance_instability,,,,"Counts appointments/reappointments together with resignations/cessations -- an orderly succession and a pressured director exit both increase this count identically. Sign should be read with that conflation in mind, not as a pure ""departures"" or ""turnover-under-duress"" measure."
Reg30,n_rating_changes,count,"Count of credit_rating_change events whose direction is a genuine upgrade or downgrade; reaffirmations, first-time assignments, and withdrawals are excluded (not ""changes"" in rating level).",aggregated to firm-FY from event-level news_dt,negative,governance_instability,,,,"NETS upgrades and downgrades together (reg30_firm_fy_agg.py L175-176: ""real_changes"" excludes reaffirmed/assigned/withdrawn/unclear but never separates direction_cw==""upgrade"" from ""downgrade""). A firm with 2 upgrades and a firm with 2 downgrades get the identical count. The suggested ""negative"" direction is NOT reliable as-is -- split into n_upgrades/n_downgrades before treating sign as informative."
Reg30,auditor_change_any,binary_0_1,"Binary 0/1 flag for any auditor change that FY -- not a count, since auditor changes are too sparse (~0.4/firm-FY) for a count to be meaningful under fixed effects.",aggregated to firm-FY from event-level news_dt,negative,governance_instability,,,,"Direction is conceptually ambiguous (routine mandatory rotation under the Companies Act vs. a for-cause change), but treated as an instability signal here consistent with the other Reg30 event counts."
Reg30,reg30_covered,binary_0_1,"1 for every row -- all 100 sampled firms x all 3 FYs get a row; lets a downstream left-merge distinguish ""covered, zero events"" from ""not in the Reg30 sample at all"".","firm-FY (constant scaffold, not derived from news_dt)",ambiguous,coverage_flag,,,,"NOT a governance signal -- always 1 within this file. Only 100/247 firms are Reg30-covered at all, via a stratified (not missing-at-random) sample. Exists purely as a merge/coverage bookkeeping column."
